complaint_text,category
Ticket 42472: Stop charging my credit card for the order!,Billing Issue
The system I got recently is already falling apart. Order #18371.,Product Quality
Why is my monthly bill higher than usual? Order #32774.,Billing Issue
"Hi, stop charging my credit card for the machine!",Billing Issue
My profile information disappeared a few hours ago.,Account Issue
"To whom it may concern, the website broke after one use.",Product Quality
I'm writing because the app arrived with scratches on it.,Product Quality
Ticket 31157: The app arrived with scratches on it.,Product Quality
I was billed for an upgrade I never requested on the service.,Billing Issue
I'm writing because my software was routed to the wrong state this morning.,Shipping & Delivery
Hello. The unit overheats after 10 minutes.,Technical Issue
I never agreed to this monitor subscription.,Billing Issue
I was billed for an upgrade I never requested on the unit. Order #86643.,Billing Issue
Ticket 3835: The installation was supposed to happen a few hours ago but no one showed up.,Service Delay
Ticket 23308: The box was completely crushed when it arrived.,Shipping & Delivery
Ticket 75661: I keep getting locked out after one failed login attempt.,Account Issue
The representative I spoke with on Tuesday was very rude. Order #33467.,Customer Support Experience
I'm writing because the screen freezes when i am restarting.,Technical Issue
The website overheats after 10 minutes. Order #27897.,Technical Issue
This machine is very poorly made.,Product Quality
Issue: The app keeps crashing every time I use it.,Technical Issue
I have been waiting for my upgrade since on Friday. Please help.,Service Delay
I'm writing because the material of the app feels cheap.,Product Quality
"Hi, i cannot log into my account since a few hours ago.",Account Issue
I requested a fix earlier today and it's still not done. This is urgent.,Service Delay
My request is still pending after weeks. Please help.,Service Delay
Just wanted to say the new machine is good.,Feedback
Hello. The tracking information hasn't updated in days.,Shipping & Delivery
"Hi, i tried to merge accounts on thursday and now neither works.",Account Issue
Hello. I tried to merge accounts earlier today and now neither works.,Account Issue
Hello. Keep up the stellar work!,Feedback
"To whom it may concern, a hidden fee of $20 was added on friday.",Billing Issue
The new update is good.,Feedback
Hello. Your customer service is ridiculous.,Customer Support Experience
Just wanted to say the new order is flawless. Order #76630.,Feedback
Hello. The screen freezes when I am typing.,Technical Issue
Ticket 43247: Nobody is answering the customer service line.,Customer Support Experience
"Hi, my escalation ticket from a few hours ago is still untouched.",Service Delay
"Hi, thank you for the superb service a few hours ago.",Feedback
The maintenance work is severely delayed. Order #72806.,Service Delay
The mobile version of your site is broken. This is urgent.,Website/App Usability
I had a brilliant experience with your team recently.,Feedback
"To whom it may concern, why is my service activation taking so long?",Service Delay
Hello. I had a wonderful experience with your team on Tuesday.,Feedback
"Hi, the website overheats after 10 minutes.",Technical Issue
My package was delivered to the wrong address. Order #22025.,Shipping & Delivery
Issue: The contrast on the new package makes it impossible to read.,Website/App Usability
I'm writing because my credit card info was stolen this morning after using your site.,Privacy & Security
"Hi, the box was completely crushed when it arrived.",Shipping & Delivery
"Hi, why is my monthly bill higher than usual?",Billing Issue
The representative I spoke with this morning was very rude.,Customer Support Experience
I never agreed to this laptop subscription. Please help.,Billing Issue
Ticket 65014: Please correct the billing amount from over the weekend.,Billing Issue
Ticket 85342: My premium status is gone after the update.,Account Issue
Your site doesn't use HTTPS on the payment page.,Privacy & Security
The installation was supposed to happen yesterday but no one showed up. Order #20396.,Service Delay
I'm writing because this item is very poorly made.,Product Quality
Please help me delete my old account. Please help.,Account Issue
I am getting targeted ads based on my voice conversations.,Privacy & Security
I tried to merge accounts on Tuesday and now neither works. Please help.,Account Issue
"Hi, i was on hold for an hour.",Customer Support Experience
Ticket 17495: How do I update the email address on my profile?,Account Issue
I'm writing because keep up the excellent work!,Feedback
"Hi, i paid for expedited shipping but it's late.",Shipping & Delivery
The new layout you launched on Friday is faulty. This is urgent.,Website/App Usability
I requested a fix on Monday and it's still not done. This is urgent.,Service Delay
Hello. I was billed for an upgrade I never requested on the unit.,Billing Issue
Hello. My package was delivered to the wrong address.,Shipping & Delivery
"To whom it may concern, five stars for the excellent support team!",Feedback
My invoice from on Friday has the wrong amount. Please help.,Billing Issue
The courier left my package in the rain last night. This is urgent.,Shipping & Delivery
I'm writing because it stopped working earlier today.,Product Quality
The support team was very stellar.,Feedback
"Hi, my profile information disappeared recently.",Account Issue
Your machine has completely transformed how I work.,Feedback
Keep up the excellent work! Order #46235.,Feedback
The new update is superb. Order #82666.,Feedback
Issue: My software was supposed to arrive two days ago.,Shipping & Delivery
"Hi, i requested a fix just now and it's still not done.",Service Delay
Ticket 47489: Very satisfied with the quick resolution.,Feedback
I'm writing because i haven't received my website yet.,Shipping & Delivery
"I'm writing because i love the new design, it's very amazing.",Feedback
"Hi, you promised 24hr turnaround but it's been a week.",Service Delay
I get lost every time I use your system. Order #23671.,Website/App Usability
Hello. The material of the item feels cheap.,Product Quality
"To whom it may concern, stop charging my credit card for the cable!",Billing Issue
Hello. Your customer service is annoying.,Customer Support Experience
The support team was very top-notch. Order #15809.,Feedback
"Hi, the contrast on the new connection makes it impossible to read.",Website/App Usability
My password reset email is not arriving. Order #70610.,Account Issue
"Hi, i haven't received my app yet.",Shipping & Delivery
Hello. Missing items in my delivery.,Shipping & Delivery
You promised 24hr turnaround but it's been a week. Please help.,Service Delay
Your account has completely transformed how I work. This is urgent.,Feedback
"Hi, the quality is absolutely horrible.",Product Quality
Ticket 82152: My request is still pending after weeks.,Service Delay
"To whom it may concern, my app was routed to the wrong state on monday.",Shipping & Delivery
Hello. The app drains my battery very fast.,Website/App Usability
"To whom it may concern, i have been waiting for my upgrade since on friday.",Service Delay
The checkout process is too complicated. This is urgent.,Website/App Usability
Issue: Five stars for the stellar support team!,Feedback
I'm writing because i was charged twice for my connection.,Billing Issue
My package was delivered to the wrong address. Order #93622.,Shipping & Delivery
Hello. Keep up the wonderful work!,Feedback
"To whom it may concern, i have been waiting for my upgrade since a few hours ago.",Service Delay
Hello. I noticed unrecognized devices logged into my account over the weekend.,Privacy & Security
"To whom it may concern, the service arrived with scratches on it.",Product Quality
"Hi, the downtime is lasting much longer than promised.",Service Delay
Issue: My personal information was leaked on Thursday.,Privacy & Security
Issue: I was billed for an upgrade I never requested on the website.,Billing Issue
Hello. My account was unexpectedly suspended.,Account Issue
I noticed unrecognized devices logged into my account recently. Order #22602.,Privacy & Security
Ticket 29621: The installation was supposed to happen last week but no one showed up.,Service Delay
"To whom it may concern, the downtime is lasting much longer than promised.",Service Delay
Status says delivered but I have nothing on my porch. Order #45670.,Shipping & Delivery
"To whom it may concern, just wanted to say the new device is great.",Feedback
The service I got a month ago is already falling apart.,Product Quality
My password reset email is not arriving. This is urgent.,Account Issue
Your service is absolutely amazing. Please help.,Feedback
I'm writing because my laptop was supposed to arrive a month ago.,Shipping & Delivery
My service was routed to the wrong state yesterday. Order #78798.,Shipping & Delivery
I'm writing because the subscription i got just now is already falling apart.,Product Quality
"Hi, there is a bug when i try to save my settings.",Technical Issue
"Hi, the connection broke after one use.",Product Quality
"Hi, my monitor was supposed to arrive last month.",Shipping & Delivery
The connection broke after one use. Please help.,Product Quality
Just wanted to say the new item is impressive.,Feedback
The promotional code was not applied to my product.,Billing Issue
Issue: The courier left my package in the rain two days ago.,Shipping & Delivery
Hello. Five stars for the great support team!,Feedback
My request is still pending after weeks. Order #42791.,Service Delay
The courier left my package in the rain this morning. Please help.,Shipping & Delivery
Five stars for the stellar support team!,Feedback
"Hi, the maintenance work is severely delayed.",Service Delay
Hello. The app freezes when I try to checkout.,Website/App Usability
Ticket 26892: The support team was very fantastic.,Feedback
Issue: I haven't received my website yet.,Shipping & Delivery
I was hung up on a few hours ago when explaining my issue. This is urgent.,Customer Support Experience
Please delete all my data immediately.,Privacy & Security
Issue: The support team was very great.,Feedback
Hello. I received a defective machine.,Product Quality
The representative I spoke with earlier today was very rude. Please help.,Customer Support Experience
"Hi, my package was routed to the wrong state earlier today.",Shipping & Delivery
You sold my email address to third parties. Please help.,Privacy & Security
Issue: I noticed unrecognized devices logged into my account last night.,Privacy & Security
Issue: The material of the subscription feels cheap.,Product Quality
"Hi, i requested a fix two days ago and it's still not done.",Service Delay
The support team was very superb. Please help.,Feedback
Hello. I was charged twice for my router.,Billing Issue
Ticket 88310: There is a bug when I try to save my settings.,Technical Issue
"Hi, it stopped working on thursday.",Product Quality
Ticket 61708: This is the most awful app I've ever owned.,Product Quality
Issue: The auto-renew triggered recently even though I turned it off.,Billing Issue
Your customer service is annoying. Please help.,Customer Support Experience
Issue: I kept getting transferred from department to department.,Customer Support Experience
"Hi, the new update is good.",Feedback
The courier left my package in the rain a few hours ago.,Shipping & Delivery
The support team couldn't resolve my issue. Order #12134.,Customer Support Experience
"Hi, the quality is absolutely subpar.",Product Quality
The monitor keeps crashing every time I use it. Order #78440.,Technical Issue
Issue: The software update broke my account.,Technical Issue
The monitor is completely bricked since over the weekend. This is urgent.,Technical Issue
Can you explain the prorated charge from over the weekend?,Billing Issue
I'm writing because just wanted to say the new platform is superb.,Feedback
My premium status is gone after the update. This is urgent.,Account Issue
My package won't turn on since on Friday. This is urgent.,Technical Issue
The new layout you launched on Thursday is buggy. Order #12762.,Website/App Usability
I'm writing because the new layout you launched last week is faulty.,Website/App Usability
Issue: Thank you for the stellar service earlier today.,Feedback
Ticket 69045: Half the pieces were missing from the box.,Product Quality
My personal information was leaked earlier today. Please help.,Privacy & Security
I suspect someone else accessed my account.,Privacy & Security
The delivery driver threw my package over the fence.,Shipping & Delivery
The screen freezes when I am submitting. This is urgent.,Technical Issue
The machine is completely bricked since on Monday. This is urgent.,Technical Issue
Hello. Your website is very defective to use.,Website/App Usability
"Hi, the system says my username is invalid.",Account Issue
I cannot log into my account since a month ago.,Account Issue
My appointment was delayed by 3 hours. Order #97009.,Service Delay
Ticket 16976: The representative I spoke with this morning was very rude.,Customer Support Experience
I paid on Tuesday but my account still shows a balance.,Billing Issue
"Hi, i haven't received my cable yet.",Shipping & Delivery
I paid over the weekend but my account still shows a balance. Please help.,Billing Issue
I was on hold for an hour. Order #20427.,Customer Support Experience
Issue: Can you explain the prorated charge from over the weekend?,Billing Issue
"To whom it may concern, half the pieces were missing from the box.",Product Quality
Hello. I cannot log into my account since last month.,Account Issue
Highly recommend your package. Order #18736.,Feedback
"Hi, i have been waiting for my upgrade since a month ago.",Service Delay
Ticket 38475: I keep getting locked out after one failed login attempt.,Account Issue
Five stars for the great support team!,Feedback
Ticket 85499: The support team couldn't resolve my issue.,Customer Support Experience
Ticket 57384: The service broke after one use.,Product Quality
"Hi, the new update is amazing.",Feedback
This is the most horrible machine I've ever owned.,Product Quality
I'm writing because i noticed unrecognized devices logged into my account last month.,Privacy & Security
Ticket 57597: Half the pieces were missing from the box.,Product Quality
The screen freezes when I am paying. Please help.,Technical Issue
"Hi, i haven't received my connection yet.",Shipping & Delivery
The checkout process is too complicated. Order #81541.,Website/App Usability
"Hi, the auto-renew triggered on wednesday even though i turned it off.",Billing Issue
Hello. The device keeps crashing every time I use it.,Technical Issue
Issue: The system says my username is invalid.,Account Issue
I received a defective machine.,Product Quality
Hello. I paid for expedited shipping but it's late.,Shipping & Delivery
Your service is absolutely superb.,Feedback
"Hi, i haven't received my subscription yet.",Shipping & Delivery
Ticket 25066: You billed me for a cancelled cable.,Billing Issue
Your software has completely transformed how I work. Please help.,Feedback
Your platform has completely transformed how I work. This is urgent.,Feedback
The screen freezes when I am typing.,Technical Issue
The laptop broke after one use.,Product Quality
Hello. Stop charging my credit card for the connection!,Billing Issue
Ticket 50443: I paid for expedited shipping but it's late.,Shipping & Delivery
Issue: I need a refund for the extra fees charged last month.,Billing Issue
Your site doesn't use HTTPS on the payment page. Order #81935.,Privacy & Security
Ticket 93984: The support team couldn't resolve my issue.,Customer Support Experience
I'm writing because the agent had no idea how to troubleshoot the subscription.,Customer Support Experience
I'm writing because can you explain the prorated charge from a month ago?,Billing Issue
The contrast on the new connection makes it impossible to read. Order #56101.,Website/App Usability
Ticket 49021: I was hung up on a few hours ago when explaining my issue.,Customer Support Experience
Ticket 64154: Service has been down for 2 days now.,Service Delay
I received a defective hardware. This is urgent.,Product Quality
The representative I spoke with on Tuesday was very rude.,Customer Support Experience
Hello. The router keeps crashing every time I use it.,Technical Issue
Five stars for the wonderful support team! This is urgent.,Feedback
I had a outstanding experience with your team on Monday. Order #27281.,Feedback
Issue: Your router has completely transformed how I work.,Feedback
Ticket 53042: My password reset email is not arriving.,Account Issue
Ticket 4770: I received a phishing email from your domain.,Privacy & Security
The software update broke my subscription. This is urgent.,Technical Issue
Ticket 45871: I can't find the search button on your new website.,Website/App Usability
"To whom it may concern, the auto-renew triggered earlier today even though i turned it off.",Billing Issue
"To whom it may concern, the contrast on the new device makes it impossible to read.",Website/App Usability
"To whom it may concern, you billed me for a cancelled connection.",Billing Issue
The service overheats after 10 minutes. Order #72326.,Technical Issue
A hidden fee of $20 was added a month ago. This is urgent.,Billing Issue
Hello. It stopped working over the weekend.,Product Quality
Issue: The representative I spoke with a month ago was very rude.,Customer Support Experience
Hello. I can't link my new account to my account.,Account Issue
"Hi, the quality is absolutely bad.",Product Quality
Ticket 74982: Stop charging my credit card for the item!,Billing Issue
I'm writing because i'm receiving a fatal error when syncing.,Technical Issue
Issue: The laptop I got on Tuesday is already falling apart.,Product Quality
Issue: The promotional code was not applied to my website.,Billing Issue
The downtime is lasting much longer than promised.,Service Delay
I'm writing because your service is absolutely amazing.,Feedback
Issue: There is a bug when I try to save my settings.,Technical Issue
Ticket 72825: The 2FA code is not sending to my phone.,Account Issue
The app drains my battery very fast.,Website/App Usability
Ticket 7973: A hidden fee of $20 was added just now.,Billing Issue
I tried to merge accounts just now and now neither works. This is urgent.,Account Issue
"Hi, the quality is absolutely defective.",Product Quality
"To whom it may concern, thank you for the great service on wednesday.",Feedback
I'm writing because thank you for the helpful service this morning.,Feedback
Ticket 63325: The biometric login on the machine failed and locked me out.,Privacy & Security
I requested a fix a month ago and it's still not done. Please help.,Service Delay
Hello. Your account has completely transformed how I work.,Feedback
"Hi, the auto-renew triggered two days ago even though i turned it off.",Billing Issue
"Hi, the app broke after one use.",Product Quality
Issue: The courier left my package in the rain on Wednesday.,Shipping & Delivery
Ticket 5517: I haven't received my hardware yet.,Shipping & Delivery
Issue: The software update broke my laptop.,Technical Issue
This device is very poorly made. Please help.,Product Quality
Ticket 39721: Please correct the billing amount from this morning.,Billing Issue
"To whom it may concern, the order i got on wednesday is already falling apart.",Product Quality
Service has been down for 2 days now. Order #16810.,Service Delay
I'm writing because keep up the good work!,Feedback
"To whom it may concern, you billed me for a cancelled app.",Billing Issue
I requested a fix earlier today and it's still not done. Order #14869.,Service Delay
"To whom it may concern, my escalation ticket from this morning is still untouched.",Service Delay
The account I got on Monday is already falling apart. This is urgent.,Product Quality
Issue: Why are you tracking my location?,Privacy & Security
"To whom it may concern, i received a defective product.",Product Quality
Hello. I received a defective subscription.,Product Quality
Issue: My escalation ticket from yesterday is still untouched.,Service Delay
Issue: I tried to merge accounts two days ago and now neither works.,Account Issue
Hello. The courier left my package in the rain two days ago.,Shipping & Delivery
My password reset email is not arriving.,Account Issue
The contrast on the new cable makes it impossible to read. Order #83760.,Website/App Usability
Issue: You billed me for a cancelled software.,Billing Issue
Ticket 24719: My account was unexpectedly suspended.,Account Issue
Hello. Five stars for the excellent support team!,Feedback
I tried to merge accounts last week and now neither works. Please help.,Account Issue
The system I got two days ago is already falling apart. This is urgent.,Product Quality
Issue: The new update is top-notch.,Feedback
"Hi, the biometric login on the product failed and locked me out.",Privacy & Security
The quality is absolutely horrible. Please help.,Product Quality
Keep up the good work!,Feedback
The downtime is lasting much longer than promised. Please help.,Service Delay
There is an unauthorized charge on my account. Order #45141.,Billing Issue
Hello. The new layout you launched a month ago is slow.,Website/App Usability
Please correct the billing amount from recently. Please help.,Billing Issue
Ticket 97571: Your website is very defective to use.,Website/App Usability
I'm writing because i was charged twice for my system.,Billing Issue
I'm writing because i keep getting disconnected from the server.,Technical Issue
Issue: My profile information disappeared a month ago.,Account Issue
I'm writing because your customer service is bad.,Customer Support Experience
Issue: Keep up the great work!,Feedback
You promised 24hr turnaround but it's been a week. This is urgent.,Service Delay
Ticket 67597: I have been waiting for my upgrade since last week.,Service Delay
"To whom it may concern, my appointment was delayed by 3 hours.",Service Delay
I'm writing because the new layout you launched last night is ridiculous.,Website/App Usability
I'm writing because my item won't turn on since on monday.,Technical Issue
Service has been down for 2 days now.,Service Delay
Please correct the billing amount from on Monday.,Billing Issue
"Hi, i was charged twice for my service.",Billing Issue
The monitor broke after one use.,Product Quality
The screen freezes when I am browsing.,Technical Issue
Your chat bot is completely useless. This is urgent.,Customer Support Experience
I'm writing because the downtime is lasting much longer than promised.,Service Delay
I'm receiving a fatal error when paying. Order #94730.,Technical Issue
I received a defective machine. Order #28580.,Product Quality
I can't link my new website to my account.,Account Issue
Hello. This is the most poor subscription I've ever owned.,Product Quality
I'm writing because i need a refund for the extra fees charged earlier today.,Billing Issue
The material of the product feels cheap. This is urgent.,Product Quality
Issue: Your service is absolutely fantastic.,Feedback
Hello. My appointment was delayed by 3 hours.,Service Delay
Issue: The order arrived with scratches on it.,Product Quality
Issue: The 2FA code is not sending to my phone.,Account Issue
"To whom it may concern, i am getting targeted ads based on my voice conversations.",Privacy & Security
"Hi, i love the new design, it's very superb.",Feedback
Ticket 36938: Your website is very terrible to use.,Website/App Usability
Ticket 84439: My profile information disappeared over the weekend.,Account Issue
I'm writing because my cable was supposed to arrive last month.,Shipping & Delivery
Highly recommend your unit. Order #45186.,Feedback
I received a defective router. Please help.,Product Quality
Ticket 19067: The promotional code was not applied to my machine.,Billing Issue
The support team was very stellar. This is urgent.,Feedback
"Hi, the mobile version of your site is broken.",Website/App Usability
Status says delivered but I have nothing on my porch. Order #41686.,Shipping & Delivery
The box was completely crushed when it arrived. Order #19812.,Shipping & Delivery
Ticket 28518: I get lost every time I use your laptop.,Website/App Usability
The material of the order feels cheap. Order #3203.,Product Quality
My personal information was leaked on Monday. This is urgent.,Privacy & Security
I have to click 10 times just to find my account settings. Order #92261.,Website/App Usability
I'm writing because my password reset email is not arriving.,Account Issue
Hello. A hidden fee of $20 was added last night.,Billing Issue
Ticket 47881: I am getting an error 404 on your main page.,Technical Issue
Ticket 88167: I haven't received my router yet.,Shipping & Delivery
Issue: I never agreed to this monitor subscription.,Billing Issue
Ticket 51849: I suspect someone else accessed my account.,Privacy & Security
I'm writing because the support team couldn't resolve my issue.,Customer Support Experience
Hello. Links on the homepage are leading to dead pages.,Website/App Usability
My personal information was leaked on Thursday. Please help.,Privacy & Security
My escalation ticket from yesterday is still untouched.,Service Delay
I kept getting transferred from department to department. This is urgent.,Customer Support Experience
The 2FA code is not sending to my phone.,Account Issue
"To whom it may concern, the support team was very amazing.",Feedback
"Hi, my credit card info was stolen on tuesday after using your site.",Privacy & Security
Issue: The courier left my package in the rain last night.,Shipping & Delivery
Keep up the stellar work! Order #2298.,Feedback
Ticket 21483: My appointment was delayed by 3 hours.,Service Delay
Ticket 13563: The new layout you launched a month ago is disappointing.,Website/App Usability
Can you explain the prorated charge from a month ago? Order #1085.,Billing Issue
I had a flawless experience with your team last week. Please help.,Feedback
I'm writing because please correct the billing amount from last month.,Billing Issue
"Hi, the delivery driver threw my package over the fence.",Shipping & Delivery
It doesn't work as advertised. Order #32347.,Product Quality
"To whom it may concern, you sold my email address to third parties.",Privacy & Security
Hello. I had a helpful experience with your team on Wednesday.,Feedback
"Hi, it doesn't work as advertised.",Product Quality
Ticket 89886: I suspect someone else accessed my account.,Privacy & Security
Issue: Please help me delete my old account.,Account Issue
"Hi, i can't link my new monitor to my account.",Account Issue
"To whom it may concern, the new update is excellent.",Feedback
"To whom it may concern, it stopped working on monday.",Product Quality
I'm writing because i am getting targeted ads based on my voice conversations.,Privacy & Security
"I love the new design, it's very stellar. Order #76658.",Feedback
"To whom it may concern, my escalation ticket from recently is still untouched.",Service Delay
Hello. My escalation ticket from two days ago is still untouched.,Service Delay
The support team couldn't resolve my issue. Order #1810.,Customer Support Experience
The agent had no idea how to troubleshoot the hardware. Order #39199.,Customer Support Experience
I haven't received my app yet.,Shipping & Delivery
"To whom it may concern, the representative i spoke with two days ago was very rude.",Customer Support Experience
Hello. I was hung up on this morning when explaining my issue.,Customer Support Experience
My account details were changed without my permission.,Account Issue
Issue: The subscription keeps crashing every time I use it.,Technical Issue
I can't find the search button on your new website. Order #29947.,Website/App Usability
Stop charging my credit card for the system! Order #20389.,Billing Issue
Hello. The monitor is completely bricked since over the weekend.,Technical Issue
Hello. The new update is great.,Feedback
The box was completely crushed when it arrived. Please help.,Shipping & Delivery
Ticket 74316: This is the most terrible connection I've ever owned.,Product Quality
My laptop was routed to the wrong state just now. This is urgent.,Shipping & Delivery
The maintenance work is severely delayed. This is urgent.,Service Delay
Very satisfied with the quick resolution.,Feedback
"Hi, my password reset email is not arriving.",Account Issue
"Hi, i haven't received my router yet.",Shipping & Delivery
"To whom it may concern, there is a bug when i try to save my settings.",Technical Issue
Very satisfied with the quick resolution. Order #5880.,Feedback
My router won't turn on since on Wednesday. This is urgent.,Technical Issue
There is an unauthorized charge on my account. Order #62310.,Billing Issue
Ticket 39716: My unit was routed to the wrong state earlier today.,Shipping & Delivery
My credit card info was stolen over the weekend after using your site. This is urgent.,Privacy & Security
Hello. The order overheats after 10 minutes.,Technical Issue
Ticket 31448: I can't connect to the Wi-Fi network.,Technical Issue
The quality is absolutely frustrating. Order #93752.,Product Quality
The downtime is lasting much longer than promised. This is urgent.,Service Delay
Ticket 44848: The agent had no idea how to troubleshoot the item.,Customer Support Experience
Ticket 54513: I suspect someone else accessed my account.,Privacy & Security
Ticket 56917: I was billed for an upgrade I never requested on the software.,Billing Issue
I need a refund for the extra fees charged last month.,Billing Issue
I'm writing because your app has completely transformed how i work.,Feedback
"To whom it may concern, the biometric login on the order failed and locked me out.",Privacy & Security
"To whom it may concern, i was billed for an upgrade i never requested on the system.",Billing Issue
"To whom it may concern, i keep getting locked out after one failed login attempt.",Account Issue
This system is very poorly made.,Product Quality
Just wanted to say the new app is stellar. Order #79019.,Feedback
I'm writing because the quality is absolutely defective.,Product Quality
I'm writing because i suspect someone else accessed my account.,Privacy & Security
Ticket 41311: The support team was very helpful.,Feedback
Issue: I'm receiving a fatal error when paying.,Technical Issue
Issue: The support team was very brilliant.,Feedback
Issue: I can't link my new system to my account.,Account Issue
The box was completely crushed when it arrived. Order #49213.,Shipping & Delivery
"To whom it may concern, a hidden fee of $20 was added on tuesday.",Billing Issue
Highly recommend your product. Order #90845.,Feedback
Hello. I suspect someone else accessed my account.,Privacy & Security
Ticket 77460: I have to click 10 times just to find my account settings.,Website/App Usability
The manager I spoke to on Wednesday was unhelpful. Order #31636.,Customer Support Experience
Ticket 60288: The product arrived with scratches on it.,Product Quality
I was charged twice for my item. This is urgent.,Billing Issue
"Hi, my premium status is gone after the update.",Account Issue
Ticket 2577: I need a refund for the extra fees charged last week.,Billing Issue
Issue: I had a amazing experience with your team just now.,Feedback
Issue: There is an unauthorized charge on my account.,Billing Issue
The downtime is lasting much longer than promised. Order #92440.,Service Delay
"To whom it may concern, the material of the connection feels cheap.",Product Quality
Issue: I tried to merge accounts on Friday and now neither works.,Account Issue
Ticket 33926: My request is still pending after weeks.,Service Delay
I cannot log into my account since earlier today.,Account Issue
The support team was very outstanding. Order #5059.,Feedback
The installation was supposed to happen just now but no one showed up.,Service Delay
I'm writing because keep up the impressive work!,Feedback
I have been waiting for my upgrade since on Monday. Order #81698.,Service Delay
Ticket 47382: I can't link my new cable to my account.,Account Issue
I'm writing because your customer service is defective.,Customer Support Experience
Ticket 76932: The new layout you launched on Thursday is frustrating.,Website/App Usability
You billed me for a cancelled device.,Billing Issue
"To whom it may concern, my escalation ticket from on monday is still untouched.",Service Delay
Hello. I'm receiving a fatal error when browsing.,Technical Issue
Issue: Your website is very buggy to use.,Website/App Usability
Half the pieces were missing from the box. Order #8430.,Product Quality
"Hi, i tried to merge accounts a month ago and now neither works.",Account Issue
Ticket 64792: I paid earlier today but my account still shows a balance.,Billing Issue
I am locked out of my account. Order #85009.,Account Issue
I can't find the search button on your new website. Order #41691.,Website/App Usability
Keep up the stellar work! Please help.,Feedback
I'm writing because i need a refund for the extra fees charged a few hours ago.,Billing Issue
Hello. Keep up the flawless work!,Feedback
Issue: Links on the homepage are leading to dead pages.,Website/App Usability
"To whom it may concern, my website was routed to the wrong state yesterday.",Shipping & Delivery
Ticket 26792: The support team couldn't resolve my issue.,Customer Support Experience
Thank you for the helpful service recently. Order #81008.,Feedback
The device is completely bricked since on Monday. This is urgent.,Technical Issue
Ticket 27682: My order was routed to the wrong state last night.,Shipping & Delivery
I paid for expedited shipping but it's late. Please help.,Shipping & Delivery
Ticket 8480: I received a phishing email from your domain.,Privacy & Security
The courier left my package in the rain a few hours ago. This is urgent.,Shipping & Delivery
"Hi, i tried to merge accounts on wednesday and now neither works.",Account Issue
Five stars for the fantastic support team! Please help.,Feedback
"To whom it may concern, i noticed unrecognized devices logged into my account earlier today.",Privacy & Security
There is a bug when I try to save my settings. Order #56947.,Technical Issue
"Hi, i requested a fix a month ago and it's still not done.",Service Delay
Issue: The system I got two days ago is already falling apart.,Product Quality
Ticket 8260: It stopped working on Wednesday.,Product Quality
"Hi, i have to click 10 times just to find my account settings.",Website/App Usability
Issue: My package was routed to the wrong state last week.,Shipping & Delivery
Ticket 64001: The new layout you launched last week is annoying.,Website/App Usability
Hello. My invoice from last month has the wrong amount.,Billing Issue
My router was supposed to arrive yesterday.,Shipping & Delivery
My profile information disappeared over the weekend. Please help.,Account Issue
"To whom it may concern, the agent promised to call back but didn't.",Customer Support Experience
I have to click 10 times just to find my account settings.,Website/App Usability
I'm writing because my invoice from on monday has the wrong amount.,Billing Issue
Ticket 34951: You sold my email address to third parties.,Privacy & Security
"Hi, the system arrived with scratches on it.",Product Quality
I'm writing because how do i update the email address on my profile?,Account Issue
Your service is absolutely brilliant. Please help.,Feedback
Ticket 55012: The signature confirmation was faked by the driver.,Shipping & Delivery
"Hi, the quality is absolutely confusing.",Product Quality
This website is very poorly made. Order #60517.,Product Quality
My appointment was delayed by 3 hours. Please help.,Service Delay
Your service is absolutely good.,Feedback
You billed me for a cancelled system. This is urgent.,Billing Issue
The server is completely unresponsive. Order #15677.,Technical Issue
My invoice from over the weekend has the wrong amount.,Billing Issue
"Hi, my profile information disappeared two days ago.",Account Issue
"Hi, the new update is top-notch.",Feedback
The screen freezes when I am typing. Please help.,Technical Issue
A hidden fee of $20 was added on Monday.,Billing Issue
My profile information disappeared last week. Please help.,Account Issue
I was billed for an upgrade I never requested on the device. Please help.,Billing Issue
I was hung up on a month ago when explaining my issue.,Customer Support Experience
"To whom it may concern, why is my monthly bill higher than usual?",Billing Issue
You billed me for a cancelled app. Order #24726.,Billing Issue
It doesn't work as advertised. Please help.,Product Quality
Hello. I requested a fix yesterday and it's still not done.,Service Delay
I was billed for an upgrade I never requested on the monitor. Please help.,Billing Issue
A hidden fee of $20 was added last night.,Billing Issue
Issue: This is the most confusing system I've ever owned.,Product Quality
The 2FA code is not sending to my phone. Please help.,Account Issue
It stopped working just now. This is urgent.,Product Quality
Issue: The box was completely crushed when it arrived.,Shipping & Delivery
A hidden fee of $20 was added over the weekend.,Billing Issue
The manager I spoke to two days ago was unhelpful.,Customer Support Experience
"To whom it may concern, i suspect someone else accessed my account.",Privacy & Security
I haven't received my router yet.,Shipping & Delivery
"To whom it may concern, your website is very ridiculous to use.",Website/App Usability
I'm writing because i haven't received my unit yet.,Shipping & Delivery
Ticket 28798: I keep getting locked out after one failed login attempt.,Account Issue
Hello. The agent had no idea how to troubleshoot the service.,Customer Support Experience
Issue: Why is my monthly bill higher than usual?,Billing Issue
Hello. My hardware was supposed to arrive a month ago.,Shipping & Delivery
"Hi, the representative i spoke with this morning was very rude.",Customer Support Experience
The software I got on Monday is already falling apart.,Product Quality
Hello. My escalation ticket from just now is still untouched.,Service Delay
"To whom it may concern, the material of the laptop feels cheap.",Product Quality
